Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;Mouvement des entrepreneurs sociaux;52006778600100;204 RUE DE CRIMeE;75019;PARIS;Renouvellement de la convention 2012 passee entre le Departement de Paris et le Mouvement des entrep;N;N;30000;30000;30000;30000;;;;80261;Financee
2013;Movide;79267767600019;22 RUE HECTOR MALOT;75012;PARIS;Prestations "reforme des rythmes scolaires" pour 2 ateliers : - creation artistique - theatre for;O;N;18000;;;;;;;148781;Non financee
2013;M'PANAM;49261069600014;30 RUE NOTRE DAME DE NAZARETH;75003;PARIS;DPP VVV Un Sejour de preparation : action de sensibilisation a un chantier international au Senegal;O;N;2000;;;;;;;108941;Non financee
2013;Multi'Colors;45355810800016;2 SQUARE D' AMIENS;75020;PARIS;Co-Financement DPVI d'un poste adulte- relais Numero de la convention 075 11 R0549 00;N;N;4706;4706;4706;4706;;;;19205;Financee
2013;Musiques Tangentes;32514963100039;15 RUE SALVADOR ALLENDE;92240;MALAKOFF;ARE-Ateliers d'expression artistiques;O;N;75600;15120;15120;;;;15120;152441;Financee
2013;Noise Unity Design;42999129200021;25 RUE LANTIEZ;75017;PARIS;projet de spectacle musicale;N;N;15000;;;;;;;5942;Non financee
2013;NONFICTION;52085888700018;12 CITE MALESHERBES;75009;PARIS;Organisation de debats;N;N;10000;;;;;;;106941;Non financee
2013;Nouveaux Droits de l'Homme;38243482700012;14 CITE VANEAU;75007;PARIS;Accompagnement administratif de personnes d'origine etrangere;N;N;15000;5000;5000;;5000;;;81101;Financee
2013;OEUVRE DE SECOURS AUX ENFANTS ET DE PROTECTION SANITAIRE DES POPULATIONS JUIVES (OSE);77568133100176;117 RUE DU FAUBOURG DU TEMPLE;75010;PARIS;Organisation d'ateliers educatifs dans les etablissements du p?le handicap de l'OSE;N;N;7000;2000;2000;2000;;;;8022;Financee
2013;OFFICE CENTRAL DE LA COOPERATION A L ECOLE DE PARIS;39333748000031;149 RUE VAUGIRARD;75015;PARIS;Fonds du Maire pour la Mairie du 4e arrondissement;N;N;6027;6027;6027;;6027;;;20499;Financee
